initial deck size,remaining deck size,turns taken,winning score threshold,player1 final score,player2 final score,winning player
52,39,24,50,54,12,player1
52,25,21,50,51,0,player1
52,21,26,50,52,4,player1
52,0,110,50,3,9,draw
52,0,132,50,4,8,draw
52,14,50,50,62,6,player1
52,16,44,50,16,54,player2
52,22,48,50,9,52,player2
52,2,130,50,52,4,player1
52,0,112,50,8,12,draw
52,0,109,50,47,40,draw
52,18,47,50,56,12,player1
52,0,100,50,3,12,draw
52,29,15,50,15,60,player2
52,27,16,50,0,52,player2
52,30,5,50,24,66,player2
52,21,29,50,6,61,player2
52,21,37,50,52,24,player1
52,0,98,50,18,12,draw
52,19,40,50,57,30,player1
52,30,2,50,0,51,player2
52,26,13,50,0,54,player2
52,18,56,50,28,66,player2
52,30,2,50,51,33,player1
52,0,110,50,44,9,draw
52,0,123,50,12,12,draw
52,30,2,50,66,0,player1
52,0,116,50,3,21,draw
52,0,88,50,12,8,draw
52,0,106,50,12,4,draw
52,5,65,50,54,15,player1
52,0,85,50,12,20,draw
52,25,29,50,18,60,player2
52,16,54,50,56,12,player1
52,4,81,50,51,16,player1
52,31,1,50,0,51,player2
52,0,139,50,16,22,draw
52,15,48,50,51,3,player1
52,10,85,50,4,50,player2
52,0,93,50,29,12,draw
52,0,88,50,16,9,draw
52,0,120,50,6,4,draw
52,14,39,50,51,16,player1
52,0,114,50,20,4,draw
52,0,92,50,16,8,draw
52,0,115,50,25,8,draw
52,20,23,50,3,51,player2
52,11,64,50,4,52,player2
52,0,94,50,12,3,draw
52,24,43,50,69,18,player1
52,0,100,50,20,27,draw
52,0,109,50,9,37,draw
52,0,115,50,4,24,draw
52,20,37,50,60,27,player1
52,13,68,50,6,52,player2
52,29,9,50,15,52,player2
52,0,123,50,6,12,draw
52,27,4,50,26,51,player2
52,24,22,50,27,54,player2
52,10,75,50,38,50,player2
52,14,65,50,8,52,player2
52,23,31,50,15,51,player2
52,26,21,50,54,18,player1
52,0,95,50,33,33,draw
52,0,135,50,4,9,draw
52,0,113,50,16,3,draw
52,17,38,50,47,61,player2
52,0,118,50,8,12,draw
52,16,42,50,12,50,player2
52,22,29,50,3,51,player2
52,0,125,50,8,43,draw
52,0,97,50,20,8,draw
52,22,25,50,66,6,player1
52,17,48,50,58,16,player1
52,23,21,50,60,20,player1
52,11,71,50,9,64,player2
52,4,99,50,16,61,player2
52,0,85,50,8,33,draw
52,0,120,50,9,34,draw
52,0,123,50,16,8,draw
52,0,115,50,40,16,draw
52,30,11,50,60,15,player1
52,0,117,50,44,48,draw
52,0,136,50,12,6,draw
52,31,1,50,57,0,player1
52,0,117,50,4,12,draw
52,0,104,50,36,24,draw
52,2,115,50,62,9,player1
52,0,82,50,9,4,draw
52,0,118,50,16,12,draw
52,0,86,50,24,9,draw
52,18,50,50,45,69,player2
52,0,83,50,48,24,draw
52,30,11,50,57,3,player1
52,14,64,50,4,56,player2
52,24,40,50,27,57,player2
52,0,92,50,24,4,draw
52,21,50,50,57,16,player1
52,0,116,50,26,16,draw
52,17,49,50,53,16,player1
52,26,9,50,0,63,player2
52,26,16,50,12,54,player2
52,0,100,50,21,12,draw
52,31,5,50,57,0,player1
52,19,47,50,9,50,player2
52,0,144,50,8,4,draw
52,31,3,50,0,52,player2
52,27,6,50,51,0,player1
52,0,104,50,36,4,draw
52,0,126,50,4,8,draw
52,0,116,50,18,20,draw
52,31,3,50,0,51,player2
52,25,31,50,12,56,player2
52,21,34,50,60,3,player1
52,23,36,50,28,51,player2
52,26,12,50,51,18,player1
52,22,44,50,18,50,player2
52,0,99,50,12,8,draw
52,28,15,50,66,15,player1
52,0,82,50,3,8,draw
52,29,14,50,0,51,player2
52,20,28,50,9,63,player2
52,23,22,50,15,54,player2
52,29,15,50,0,51,player2
52,20,43,50,9,63,player2
52,0,114,50,8,12,draw
52,27,17,50,57,45,player1
52,0,78,50,8,12,draw
52,0,109,50,42,8,draw
52,27,8,50,52,18,player1
52,25,26,50,58,3,player1
52,0,97,50,21,8,draw
52,0,68,50,12,6,draw
52,3,117,50,51,12,player1
52,0,121,50,40,15,draw
52,27,22,50,51,18,player1
52,0,115,50,12,8,draw
52,0,105,50,28,16,draw
52,28,23,50,9,54,player2
52,0,147,50,6,16,draw
52,31,1,50,53,0,player1
52,0,114,50,12,16,draw
52,31,2,50,21,69,player2
52,0,125,50,12,8,draw
52,0,123,50,12,4,draw
52,0,99,50,20,3,draw
52,0,99,50,8,28,draw
52,0,94,50,12,8,draw
52,0,97,50,32,6,draw
52,0,71,50,8,12,draw
52,0,92,50,20,9,draw
52,29,3,50,18,66,player2
52,0,108,50,9,8,draw
52,9,106,50,20,50,player2
52,0,100,50,30,8,draw
52,22,41,50,3,50,player2
52,0,122,50,4,24,draw
52,14,69,50,54,16,player1
52,30,20,50,6,57,player2
52,12,74,50,12,72,player2
52,27,7,50,26,66,player2
52,0,96,50,12,12,draw
52,0,123,50,8,12,draw
52,0,110,50,12,6,draw
52,0,113,50,3,12,draw
52,0,95,50,4,20,draw
52,27,18,50,3,60,player2
52,10,66,50,6,51,player2
52,24,29,50,51,3,player1
52,31,3,50,0,60,player2
52,28,14,50,21,51,player2
52,0,126,50,12,12,draw
52,28,21,50,3,52,player2
52,25,26,50,9,51,player2
52,24,24,50,58,6,player1
52,0,114,50,18,6,draw
52,0,100,50,8,20,draw
52,21,50,50,57,6,player1
52,30,4,50,0,54,player2
52,27,31,50,6,52,player2
52,27,20,50,0,51,player2
52,20,48,50,60,16,player1
52,31,1,50,51,0,player1
52,0,96,50,8,4,draw
52,0,129,50,16,12,draw
52,0,84,50,12,16,draw
52,24,18,50,66,18,player1
52,0,113,50,4,12,draw
52,30,3,50,27,55,player2
52,27,15,50,60,39,player1
52,26,16,50,9,58,player2
52,23,21,50,52,9,player1
52,29,11,50,18,54,player2
52,21,35,50,53,4,player1
52,19,42,50,12,63,player2
52,24,26,50,0,60,player2
52,21,45,50,9,51,player2
52,22,48,50,36,55,player2
52,19,32,50,36,51,player2
52,0,95,50,15,3,draw
52,0,121,50,8,24,draw
52,22,49,50,9,51,player2
52,0,83,50,20,33,draw
52,16,51,50,6,60,player2
52,0,128,50,4,27,draw
52,29,8,50,52,24,player1
52,0,109,50,3,12,draw
52,0,66,50,24,42,draw
52,0,114,50,36,12,draw
52,26,14,50,76,6,player1
52,14,56,50,21,60,player2
52,0,100,50,8,12,draw
52,0,100,50,46,3,draw
52,24,19,50,24,63,player2
52,5,109,50,36,64,player2
52,25,30,50,57,0,player1
52,20,29,50,57,18,player1
52,28,8,50,57,4,player1
52,0,87,50,8,43,draw
52,25,17,50,12,61,player2
52,0,106,50,21,3,draw
52,21,36,50,3,55,player2
52,15,42,50,64,6,player1
52,0,90,50,12,3,draw
52,0,84,50,18,8,draw
52,26,26,50,12,51,player2
52,13,76,50,16,51,player2
52,0,114,50,3,28,draw
52,24,20,50,21,66,player2
52,0,104,50,4,8,draw
52,0,100,50,6,16,draw
52,19,49,50,36,53,player2
52,7,67,50,4,51,player2
52,28,7,50,9,51,player2
52,19,67,50,54,3,player1
52,0,98,50,6,3,draw
52,26,23,50,28,63,player2
52,0,123,50,28,20,draw
52,13,67,50,66,20,player1
52,23,26,50,51,8,player1
52,1,139,50,50,8,player1
52,0,107,50,16,12,draw
52,0,98,50,4,18,draw
52,0,125,50,4,8,draw
52,0,102,50,9,12,draw
52,28,24,50,0,63,player2
52,0,101,50,46,16,draw
52,26,12,50,9,52,player2
52,16,56,50,4,51,player2
52,0,99,50,24,12,draw
52,0,131,50,8,9,draw
52,0,123,50,8,24,draw
52,0,114,50,4,16,draw
52,0,68,50,20,4,draw
52,17,27,50,54,15,player1
52,30,6,50,24,51,player2
52,0,83,50,15,39,draw
52,17,55,50,9,51,player2
52,22,41,50,8,57,player2
52,18,21,50,51,27,player1
52,31,2,50,50,0,player1
52,0,109,50,16,8,draw
